x,y,genre
40.631546,14.619317,R&B
41.665237,8.946891,hip hop
-15.54954,13.964837,hip hop
-19.403128,13.688046,Dance/Electronic
-41.00775,1.987709,hip hop
49.651188,-5.3712974,Dance/Electronic
48.406563,0.93522507,pop
45.41742,4.074091,pop
-37.808186,8.560518,rock
43.187607,5.573021,pop
46.082344,6.947158,R&B
-62.501453,9.220242,Dance/Electronic
45.395805,-1.3894606,latin
59.09904,4.5918584,R&B
-56.099873,-3.0810988,R&B
-59.539066,7.741775,Dance/Electronic
49.306976,-7.3408885,Dance/Electronic
61.872795,3.9040492,pop
36.015537,16.425142,pop
-21.316277,16.461124,Dance/Electronic
-40.633556,1.6262147,hip hop
-36.06575,6.0085187,R&B
-36.58895,3.056041,hip hop
44.47189,1.3501642,R&B
-36.15713,5.951406,R&B
46.199905,-0.5207997,Dance/Electronic
47.03998,-1.4798572,Dance/Electronic
-40.22468,5.780444,Dance/Electronic
45.264473,3.701997,hip hop
-38.894886,11.464536,hip hop
-36.74637,-1.8854866,R&B
46.25329,-2.788226,pop
-34.9631,4.4440575,country
49.32717,3.8784883,hip hop
-30.90461,-2.0093305,country
-63.949158,9.470871,Dance/Electronic
-29.638184,13.384683,rock
-35.08811,-0.50042325,pop
-32.557117,1.1302065,country
47.745174,4.3332386,hip hop
47.59352,-0.8117093,Dance/Electronic
-21.944431,12.863433,pop
-23.389034,14.505942,hip hop
-19.295406,16.861805,hip hop
47.05246,3.9852018,R&B
46.566307,-7.395132,rock
-36.255272,5.8069577,Dance/Electronic
59.201797,4.257855,Dance/Electronic
49.563393,4.5762477,hip hop
-19.705322,11.642086,R&B
-20.871412,13.3993845,Dance/Electronic
45.161777,9.878196,Dance/Electronic
-29.193924,13.305519,Dance/Electronic
-17.922512,16.999298,R&B
-21.42706,11.905613,hip hop
40.823532,-4.7741823,pop
-23.047464,17.63293,R&B
-35.344543,4.2303357,R&B
-23.93457,13.361129,pop
42.10454,-4.9541717,rock
50.023987,-7.274629,hip hop
42.404472,13.014451,hip hop
-21.736889,17.189926,pop
47.11696,-1.3805593,Dance/Electronic
-59.6422,10.597723,hip hop
50.533493,-3.5695453,R&B
37.902836,15.365038,hip hop
46.254612,6.521566,R&B
-25.098473,12.418849,pop
-22.575619,14.240893,pop
-30.904356,-2.0094774,country
-21.137789,12.914649,Dance/Electronic
42.997288,11.024101,pop
-41.57586,2.8733814,R&B
-35.344543,4.230353,R&B
-14.981186,13.59716,R&B
38.70252,-4.9674597,R&B
-35.3011,-0.40909898,hip hop
-40.49132,1.7216948,hip hop
45.693237,0.15643822,rock
-24.089449,12.618625,Dance/Electronic
45.812603,6.0109696,hip hop
37.69033,12.984074,latin
-22.073463,17.140648,pop
37.659702,14.88003,pop
49.117096,-0.22149602,R&B
-33.813744,3.2358546,hip hop
42.997406,11.024088,pop
-34.62822,0.5019729,Dance/Electronic
-35.29878,2.3890946,Dance/Electronic
43.457516,-2.5795033,Dance/Electronic
-38.215954,12.79062,hip hop
50.785355,-5.1737447,pop
